Question,LowerBound,UpperBound,Respondent,CodeName,Lowest,Highest,Best,Range,LowGood,HiGood,BestGood
6,0,9999999,DK,Max,14000,25000,20000,0.85,1,1,1
7,0,9999999,DK,Max,6000,10000,8000,0.85,1,1,1
8,0,1,DK,Max,0.25,0.45,0.35,0.75,1,1,1
9,0,0.5,DK,Max,0.1,0.4,0.2,0.75,1,1,1
10,0,0.25,DK,Max,0.025,0.1,0.05,0.75,1,1,1
1,0,1,TL,Patti,0.75,0.92,0.86,0.95,1,1,1
2,0,1,TL,Patti,0.1,0.4,0.2,0.7,1,1,1
3,0,1,TL,Patti,0.2,0.8,0.5,0.5,1,1,1
4,0,1,TL,Patti,0.01,0.2,0.05,0.95,1,1,1
5.1,0,9999999,TL,Patti,0.05,2,0.4,0.5,1,1,1
5.2,0,9999999,TL,Patti,0.05,2,0.4,0.5,1,1,1
6,0,9999999,TL,Patti,3000,28000,18000,0.85,1,1,1
7,0,9999999,TL,Patti,2000,12000,7000,0.8,1,1,1
8,0,1,TL,Patti,0.1,0.85,0.5,0.5,1,1,1
9,0,0.5,TL,Patti,0.05,0.2,0.1,0.85,1,1,1
10,0,0.25,TL,Patti,0.03,0.15,0.08,0.95,1,1,1
1,0,1,HW,Danny,0.44,0.97,0.82,0.95,1,1,1
2,0,1,HW,Danny,0.14,0.7,0.52,0.9,1,1,1
3,0,1,HW,Danny,0.02,0.25,0.11,0.9,1,1,1
4,0,1,HW,Danny,0,0.2,0.07,0.9,1,1,1
5.1,0,9999999,HW,Danny,0.4,0.8,0.65,0.6,1,1,1
5.2,0,9999999,HW,Danny,0.5,0.8,0.65,0.6,1,1,1
6,0,9999999,HW,Danny,19000,57000,38000,0.7,1,1,1
7,0,9999999,HW,Danny,10000,30000,20000,0.7,1,1,1
8,0,1,HW,Danny,0.14,0.55,0.24,0.8,1,1,1
9,0,0.5,HW,Danny,0.05,0.25,0.15,0.7,1,1,1
10,0,0.25,HW,Danny,0.05,0.15,0.1,0.7,1,1,1
